연간 예산	annual budget
승진하다	to be promoted
인내하다	to endure
자신하다	to be confident
살구색	apricot (color)
파랑색	blue
빨강색	red
주색	vermillion
청록색	turquoise
노랑색	yellow
적갈색	maroon
네이비색	navy blue
아이보리색	ivory (color)
카키색	khaki (color)
넉엽	fallen leaves
저금	savings
무억	trade
우박	hail
스모그	smog
파파야	a papaya
호도	a walnut
키위	a kiwi
애호박	a green pumpkin
아몬드	an almond
잣	pine nuts
올리브	an olive
석류	a pomegranate
체리	a cherry
어휴	boy!, oh my!
짜리	a thing worth, value
이발	a haircut (for men)
다음 주	next week
따라 하다	to follow, to copy an action
잭오랜턴	jack-o-lantern
커플	couple (in a relationship)
퍼레이드	parade
축제일	holidays
베이스	bass (related to the cello)
첼로	cello
색소폰	saxophone
바순	bassoon
현악기	strings (instrument group)
플루트	flute
목관악기	woodwinds
오보에	oboe
클라리넷	clarinet
실로폰	xylophone
드럼	drums
튜바	tuba
프렌치 혼	french horn
타악기	percussion
금관악기	brass
트롬본	trombone
트럼펫	trumpet
하모니카	harmonica
오르간	organ (the instrument)
탬버린	tambourine
컨츄리	country
힙합	hip hop
팝	pop
소울	soul
시트콤	sitcom
토크 쇼	talk show
세계 음악	world music
레게	reggae
가스펠	gospel
블루스	blues
공포물	horror stories
미스터리	mystery
서스펜스	suspense
로맨스	romance
서부영화	western (cowboy movies)
게임 쇼	game show
줌 렌즈	zoom lens
배터리 팩	battery pack
어댑터	adapter
범용리모콘	universal remote
평면 TV	flat screen TV
도크	dock (e.g. ipod dock)
튜너	tuner
전축	turntable
노출 부족	underexposed
노출 과다	overexposed
사진 앨범	photo album
전자제품	electronics
사진술	photography
야구 카드	baseball cards
이젤	easel
목공 키트	woodworking kit
색종이	construction paper
딱풀	glue stick
모형 키트	model kit
체스	chess
서양 장기	checkers
주사위	dice
보드게임	board game
모델 기차	model trains
뜨개 바늘	knitting needles
자수	embroidery
코바늘뜨기	crocheting
액션 인물	action figures
유화	oil paint
그림 붓	paintbrush
뜨개실	yarn
풋볼 헬멧	football helmet
야구공	baseball
하키 스틱	hockey stick
풋볼공	football
어깨 패드	shoulder pads
프리즈비	frisbee
스키화	ski boots
스노보드	snowboard
아령	weights
스키 폴	ski poles
배구공	volleyball
농구공	basketball
골프 채	golf club
과녁	target
볼링 볼	bowling ball
활	bow
농구장	basketball court
소프트볼	softball
풋볼	football (American)
배구장	volleyball court
수구	water polo
팀 스포츠	team sports
포켓볼	billiards
육상 경기	track and field
펜싱	fencing
레슬링	wrestling
라켓볼	racquetball
수상스키	waterskiing
썰매타기	sledding
윈드서핑	windsurfing
서핑	surfing
스노보딩	snowboarding
활강 스키	downhill skiing
스노클링	snorkeling
야외 활동	outdoor recreation
보트타기	boating
래프팅	rafting
카누 타기	canoeing
침낭	sleeping bag
슬리핑백	sleeping bag (not 침낭)
캠핑	camping
말타기	horseback riding
캠프파이어	campfire
방충제	insect repellent
랜턴	lantern
다용도 칼	multi-use knife
잠수복	wet suit
구조대원실	lifeguard station
서프보드	surfboard
구조대원	lifeguard
부두	pier
조가비	seashell
들통	bucket
아이스박스	cooler
모래성	sand castle
오리발	fins (for scuba)
양동이	pail
서퍼	surfer
음료대	drinking fountain
정글짐	jungle gym
미끄럽틀	slide
시소	seesaw
모래상자	sandbox
분수대	water fountain
자전거 길	bike path
구장	baseball field
놀어터	playground
놀러갈 곳	places to go
볼링장	bowling alley
록 콘서트	rock concert
벼룩 시장	flea market
놀이 공원	amusement park
나이트클럽	nightclub
재활용제품	recycled products
산성 비	acid rain
수질 오염	water pollution
살충제	pesticide
융합	fusion
기름 유출	oil spill
대기 오염	air pollution
천연 가스	natural gas
수력 발전	hydroelectric power
석탁	coal
코뿔소	rhinoceros
침팬지	chimpanzee
하이에나	hyena
고릴라	gorilla
개미핥기	anteater
깃대	quill (on an animal)
개코원숭이	baboon
혹	hump (e.g. camel hump)
코요테	coyote
쿠거	mountain lion
표범	leopard
무스	moose
오랑우탄	orangutan
가지진 뿔	antlers
발굽	hooves
뿔	horn
갈기	mane
코끼리 코	trunk (e.g. elephant trunk)
오리구리	platypus
코알라	koala
캥거루	kangaroo
상아	tusk
스컹크	skunk
들소	buffalo
박쥐	bat
주머니쥐	opossum
고슴도치	porcupine
아르마딜로	armadillo
비버	beaver
들쥐	gopher
암탉	hen
수탉	rooster
농장 동물	farm animals
염소	goat
당나귀	donkey
설치류	rodents
기니피그	guinea pig
잉꼬	parakeet
전갈	scorpion
꿀벌	honeybee
무당 벌레	ladybug
진드기	tick (not a flea)
로빈	robin
딱따구리	woodpecker
큰어치	blue jay
벌새	hummingbird
메뚜기	grasshopper
나방	moth
부리	beak
애벌레	caterpillar
올빼미	owl
거미류	arachnids
딱정벌레	beetle
말벌	wasp
양서류	amphibians
크로크다일	crocodile
코브라	cobra
두꺼비	toad
수달	sea otter
불가사리	starfish
가자미	flounder
해파리	jellyfish
해마	seahorse
장어	eel
가오리	ray (fish)
낙지	octopus (not 문어)
문어	octopus
배스	bass
거북	turtle
누룩뱀	garter snake
방울뱀	rattlesnake
도롱뇽	salamander
지느러미	fin
아가미	gills
바다생물	marine life
바다동물	sea animals
말미잘	sea anemone
비늘	scales
홍합	mussel
가리비	scallop
성게	sea urchin
도마뱀	lizard
바다 사자	sea lion
바다코끼리	walrus
금잔화	marigold
가디니아	gardenia
난초	orchid
아이리스	iris
크로커스	crocus
카네이션	carnation
봉우리	bud
묘목	seedling
구근	bulb
튤립	tulip
꽃다발	bouquet
백합	lily
재스민	jasmine
포인세티아	poinsettia
층층나무	dogwood
느릅나무	elm tree
태산목	magnolia
베리	berries
덩굴	vine
덩굴옻나무	poison ivy
큰 가지	limb
잔가지	twig
졸기	trunk (of a tree)
포유동물	mammals
야생 생물	wildlife
산호	coral
혜성	comet
관측소	observatory
월식	lunar eclipse
우주비행사	astronaut
보름달	full moon
하현달	quarter moon
초승달	crescent moon
신월	new moon
은하계	galaxy
별자리	constellation
소행성	asteroid
협곡	canyon
평원	plains
대양	ocean
모래 언덕	sand dune
우림	rain forest
산봉우리	mountain peak
설립자	founder (i.e. of a new land)
독립선언문	the Declaration of Independence
탐험	exploration
정치 운동	political movement
군주	monarch
권리장전	bill of rights
검색 엔진	search engine
탭	tab
스크롤 바	scroll bar
검색 상자	search box
뒤로 단추	back button
포인터	pointer
마더보드	motherboard
전원 코드	power cord
키보드	keyboard
웹캠	webcam
랩톱	laptop
깔때기	funnel
시험관	test tube
프리즘	prism
자석	magnet
눈금실린더	graduated cylinder
비커	beaker
무척추동물	invertebrates
세포막	cell membrane
세포벽	cell wall
염색체	chromosome
광합성	photosynthesis
세포질	cytoplasm
척추동물	vertebrates
슬라이드	slide (e.g. microscope slide)
점적기	dropper
핀셋	forceps
원자	atom
주기율표	periodic table
화학자	chemist
접안 렌즈	eyepiece
광원	light source
양성자	proton
중성자	neutron
수학 연산	math operations
분모	denominator
양수	positive integers
둘레	perimeter
기하	geometry
삼각법	trigonometry
선문	line segment
끝점	end point
수직선	perpendicular lines
평행사변형	parallelogram
육면체	cube
각뿔	pyramid
대각선	diagonal
정수	integers
음수	negative integers
원뿔	cone
원기둥	cylinder
밑면	base
정사각형	square
곱	product
도형	shapes (in math)
예각	an acute angle
평행선	parallel lines
둔각	an obtuse angle
직각	a right angle
직사각형	rectangle
원주	circumference
쓰기 순서	writing process
최종안	final draft
하이픈	hyphen
세미콜론	semicolon
콜론	colon
따옴표	quotation marks
쉼표	comma
작문	composition
느낌표	exclamation mark
각주	footnote
서론	introduction (i.e. in an essay)
본론	body
성인학교	adult school
지역대학	community college
기술학교	technical school
직업학교	vocational school
뷔페	buffet
부주방장	sous chef
저장소	storeroom
주문원	runner
지배인	maitre d'
더블 베드	double bed
벨 캡틴	bell captain
시설 관리	maintenance
룸 서비스	room service
연회장	banquet hall
선물 가게	gift shop
접객원	concierge
주차 직원	parking attendant
회전문	revolving door
도어맨	doorman
객실계	desk clerk
청소 카트	housekeeping cart
스위트룸	suite
프런트	front desk
가방 카트	luggage cart
벨보이	bellhop
스캐너	scanner
대기 공간	waiting area
서류함	file cabinet
오거나이저	organizer
메일러	mailer
포스트잇	Post-Its
파일 폴더	file folder
수정액	white-out
캑스기	fax machine
스테이플러	stapler
스테이플	staples
고무 밴드	rubber band
잉크 패드	ink pad
스탬프	stamp (not postal)
칸막이	cubicle
분쇄기	paper shredder
청소부	janitor
톱날	saw blade
공구	tools
나무메	mallet
대패	plane (for shaping wood)
사포	sandpaper
작업등	work light
볼트	bolt (as in nuts and bolts)
고리 나사	eye hook
훅	hook
기계 나사	machine screw
너트	nut (as in nuts and bolts)
토글 볼트	toggle bolt
와셔	washer (for a screw)
드릴 비트	drill bit
번지 코드	bungee cord
야드 자	yard stick
원형 톱	circular saw
실톱	jigsaw (the tool)
수평기	level (the tool)
연결 코드	extension cord
전동 샌더	power sander
덕 테이프	duct tape
스크레이퍼	scraper
플런저	plunger
페인트 팬	paint pan
비아스	vise
전동 드릴	electric drill
피팅	fittings (for pipes)
방사	radiation
독성	toxicity
독성 연기	poisonous fumes
위험 물질	hazardous materials
작업 안전	job safety
무전기	two-way radio
안전 장화	safety boots
들보	I beam
대들보	girder
발판	scaffolding
벽돌공	bricklayer
창유리	window pane
건식벽	drywall
합판	plywood
곡괭이	pickax
지붕널	shingles (i.e. construction)
큰 쇠망치	sledgehammer
배선	wiring
평면도	floor plan
흙손	trowel
잭해머	jackhammer
기중기	crane
굴착기	backhoe
불도저	bulldozer
단열재	insulation
치장 벽토	stucco
자주개자리	alfalfa
헛간	barn
농기구	farm equipment
숫송아지	cattle
목축	ranching (livestock)
가축 우리	corral
건초	hay
포도원	vineyard
트랙터	tractor
조경	landscaping
모종삽	trowel
일륜 수레	wheelbarrow
전정 가위	pruning shears
조립 라인	assembly line
적재 도크	loading dock
공장 주인	factory owner
핸드 트럭	dolly
지게차	forklift
광고란	classifieds
직업소개소	employment agency
진로 계획	career planning
인턴쉽	internship
직업 훈련	vocational training
현장 교육	on-the-job training
기술 분야	skill inventory
관심 분야	interest inventory
용접공	welder
택배원	delivery man
페인트공	painter (e.g. houses)
번역사	translator
통역사	interpreter
환경미화원	sanitation worker
창고원	stock clerk
트럭 기사	truck driver
계약자	contractor
꽃집 주인	florist (not 플로...)
정원사	gardener
재봉사	seamstress
푸주한	butcher
목소	carpenter
조립공	assembler
비즈니스맨	business man
소방수	firefighter
배달원	delivery person
안전 규정	safety regulations
타임 클록	time clock
감독자	supervisor
공제	deductions
급여 수표	paycheck
수하물	luggage
세관 직원	customs officer
탑승 구역	boarding area
조종실	cockpit
구명 조끼	life vest
비행 지연	delayed flight
전자 티켓	e-ticket
심사 구역	screening area (i.e. at an airport)
보안검사	security check
정시에	on-time
착륙	landing
배기관	tail pipe
러그렌치	lug wrench
잭	jack
뒷좌석	backseat
계기판	dashboard (on a car)
깜빡이	turn signal
트렁크	truck
가스 탱크	gas tank
휠 커버	hub cap
제동등	brake light
후미등	tail light
사물함	glove compartment
온도 계기	temperature gauge
유량계	oil gauge
경적	horn
연료 계기	gas gauge
후드	hood
안전 벨트	seat belt
히터	heater
라디에이터	radiator
앞좌석	front seat
머플러	muffler
수동 변속	manual transmission
점화 장치	ignition
자동 변속	automatic transmission
클러치	clutch
가스 페달	gas pedal
백미러	rearview mirror
아디오	radio
전조등	headlight
비상등	hazard lights
핸들	steering wheel
속도계	speedometer
패런	instrumental panel (in a car)
범퍼	bumper
앞유리	windshield
에어백	airbag
세미	semi
쿠페	coup
미니밴	minivan
덤프 트럭	dump truck
컨버커블	convertible
스쿨 버스	school bus
리무진	limousine
스포츠 카	sports car
캠핑카	camper
픽업 트럭	pickup truck
화물 밴	cargo van
하이브리드	hybrid
세단	sedan
직진	straight (the direction)
서	West
범례	map legend
축척	scale (i.e. drawn to scale)
일방 통행	one way
막다른 길	dead end
출구 없음	no outlet
U턴 허용	U-turn OK
제한 속도	speed limit
도로 공사	road work
전입 금지	do not enter / wrong way
주차 금지	no parking
합류 차선	merge
환승	transfer
버스 노선	bus route
택시 면허	taxi license
미터기	meter
왕복 여행	round trip
타운카	town car
셔틀	shuttle
편도 여행	one-way trip
토큰	token
요금 카드	fare card
개찰구	turnstile
차장	conductor (i.e. for a train)
전철역	train station
지하철 역	subway station
비상절차	emergency procedures
만날 장소	meeting place
손전등	flashlight
건전지	batteries
파난 경로	evacuation route
탈출 경로	an escape route
캔 식품	canned food
화산 폭발	volcanic eruption
수색구조팀	search and rescue team
미아	lost child
진흙 사태	mudslide
소방소	firefighter
허리케인	hurricane
토네이도	tornado
낙서	graffiti
폭력 강도	mugging
방화	arson
신분 도용	identity theft
파괴 행위	vandalism
불법 마약	illegal drugs
배심	jury
재판권	jurisdiction
재판일	a court date
재판부	justice department
재판관	judge
석방	release
법제도	the legal system
경비원	guard
판결문	sentencing
평결	verdict
법정 간수	bailiff
시민권	citizenship
시의원	council person
시의회	city council
선거 결과	election results
대법원장	Chief Justice of the Supreme Court
사법부서	Judicial branch
내각	cabinet
대법관	Supreme Court justice
대법원	the Supreme Court
해병	Marines
부통령	Vice President
상원	senate
상원 의원	senator
행정 부서	Executive branch
백악관	White House
입법 부서	Legislative branch
하원	House of Representatives
하원 의원	congressperson
주 정부	state government
방위군	National Guard
주의회	legislature
부지사	lieutenant governor
연방 정부	federal government
군 복무	military service
시력 검사	vision exam
유효 기한	expiration date
번호판	license plate
신청료	application fees
시험 장소	testing area
국제 우편	airmail
육상 우편	ground post
우편 엽서	post card
우편 주소	mailing address
반송 주소	return address
소포 우편	parcel post
사서함	PO Box
우표 한권	a book of stamps
오디오북	audio book
전기물	biography
그림책	picture book
지도책	atlas
입금 용지	deposit slip
귀중품	valuables
수표책	check book
은행 직원	teller
계좌이체	transfer (i.e. at the bank)
식당 구역	food court
안내판	directory
신발 가게	shoe store
놀이공간	play area
안경점	optician
보석상	jewelry store
연석	curb
복사 센터	copy center
보육 시설	childcare center
소화전	fire hydrant
빨래방	laundromat
스타디움	stadium (not 경기장)
쇼핑 센터	shopping mall
묘지	cemetery
고층 건물	skyscraper
모텔	motel
공사 현장	construction site
지역 대학	community college
유대 교회	synagogue
수퍼마켓	supermarket
쓰레기차	garbage truck
회교사원	mosque
생명 징후	vital signs
호출 단추	call button
혈액 검사	blood work
들것	stretcher
수술대	operating table
병원 차트	medical chart
정맥 주사	IV (intravenous drip)
검사실	lab (in a hospital)
환자복	hospital gown
병원 침대	hospital bed
안과 의사	ophthalmologist
산과 의사	obstetrician
내과 의사	internist
행정 직원	administrator
병원 직원	hospital staff
보조원	an assistant
영양사	nutritionist
치과 진료	dental care
치과학	dentistry
치과 장비	dental instruments
치과 질환	dental problems
교정치과의	orthodontist
교정기	braces
잇몸질환	gum disease
충전재	a filling
인공 치관	a crown (for your tooth)
치석	plaque
마취	anesthesia
주사기	syringe
진료 절차	medical procedures
진료대	examination table
접수원	receptionist
체온계	thermometer
혈압계	blood pressure gauge
청진기	stethoscope
탄력 붕대	elastic bandage
항생연고제	antibacterial ointment
반창고	adhesive bandage
부목	splint
봉합	stitches
가제	gauze
과산화수소	hydrogen peroxide
무균 패드	sterile pad
응급 치료	first aid
무의식	unconsciousness
독약	poison
동상	frostbite
전기 충격	electric shock
쇼크	shock
검안사	optometrist
청력 손실	hearing loss
시력 문제	vision problems
보청기	hearing aid
요법	therapy
물리치료사	physical therapist
지원 모임	support group
치료사	therapist
제산제	antacid
진해정	cough drops
기침시럽	cough syrup
처방약	prescription medications
흡입기	inhaler
비처방약	over-the-counter medication
삼각건	sling
정제	tablet
캡슐	capsule
깁스	cast
휠체어	wheelchair
유효기 한	expiration date
경고문	warning label
처방 번호	prescription number
보온 패드	heating pad
수두	chicken pox
후두염	strep throat
홍역	measles
중이염	an ear infection
멍	bruise
메스꺼움	nausea
현기증	dizziness
오한	chills
발진	rash
이통	earache
인후통	sore throat
벤 상처	cut
코막힘	nasal congestion
헤어젤	hair gel
고대기	curling iron
헤어 클립	hair clip
실핀	bobby pins
샤워캡	shower cap
개인 위생	personal hygiene
방취제	deodorant
샤워젤	shower gel
보습제	moisturizer
매니큐어	nail polish (not 손톱...)
손톱깎기	nail clipper
손톱줄	nail file
면도날	razor blade
콜롱	cologne
선블락	sunblock
바디 로션	body lotion
화운데이션	foundation
파우더	powder
립스틱	lipstick
마스카라	mascara
아이라이너	eyeliner
볼터치	blush
눈썹 연필	eyebrow pencil
아이섀도우	eye shadow
컨디셔너	conditioner
발꿈치	heel
어깨뼈	shoulder blades
둔부	buttocks (not 엉덩이)
흉곽	rib cage
골반	pelvis
눈꺼물	eyelid
팔뚝	forearm
방광	bladder
췌장	pancreas
정맥	vein
동맥	artery
담낭	gallbladder
엄지	thumb
정강이	shin
다린 셔츠	ironed shirt
젖은 셔츠	wet shirt
마른 셔츠	dry shirt
빨래통	laundry basket
표백제	bleach
다리미판	ironing board
빨랫줄	clothesline
세탁 세제	laundry detergent
빨래집게	clothespin
밑단	hem
줄자	tape measure
골무	thimble
옷핀	safety pin
바늘꽂이	pin cushion
시침핀	(straight) pin
아랫단	cuff
수선	alterations
양재사	dressmaker
칼라	collar
개시미어	cashmere
데님	denim
스웨이드	suede
재봉틀	sewing machine
직물점	fabric store
코듀로이	corduroy
나일론	nylon
리본	ribbon
술장식	fringe
천 종류	types of material
버클	buckle
시퀸	sequins
비드	beads
스냅	snap
얇은 재킷	light jacket
짧은 치마	short skirt
긴팔 셔츠	long-sleeved shirt
반팔 셔츠	Short-sleeved shirt
단색	solid (clothing pattern)
긴 치마	long skirt
체크 무늬	checked
격자 무늬	plaid
꽃무늬	floral
구두굽	heel
동전 지갑	coin purse
숄더 백	shoulder bag
토트 백	tote bag
벨트 버틀	belt buckle
신발 밑창	sole
핀	pin
낮은 신발	flats
멜빵	suspenders
보석 코너	jewelry department
신발 코너	shoe department
구두끈	shoelaces
테니스화	tennis shoes
간편화	loafers
앞치마	apron
블레이저	blazer
보호 안경	safety goggles
폴로 셔츠	polo shirt
작업복	smock
공구 벨트	tool belt
작업 셔츠	work shirt
간호복	scrubs
안전모	hard hat
배지	badge
실험복	lab coat
위생모	hairnet
점프수트	jumpsuit
캐미솔	camisole
브라	bra
나이트셔츠	nightshirt
거들	girdle
가터 벨트	garter belt
타이츠	tights
가운	robe
긴 내의	long underwear
속셔츠	undershirt
나이트가운	nightgown
긴 양말	crew socks
삼각 팬티	briefs
사각 팬티	boxer shorts
스키 모자	ski hat
가죽 자켓	leather jacket
머리띠	headband
파카	parka
머리감싸개	headwrap
밀짚보자	straw hat
비치 가운	cover-up (for the beach)
수영 팬츠	swimming trunks
레깅스	leggings
귀가리개	earmuffs
레인코트	raincoat
판초	poncho
니트 상의	knit top
7부 바지	capris
멜빵 바지	overalls
근무복	work clothes
턱시도	tuxedo
주방장	chef
물잔	water glass
받침 접시	saucer
빵바구니	bread basket
버서	busser
웨이트리스	waitress
포장 용기	to-go box
식당 손님	diner
포도주 잔	wine glass
주방 용품	kitchen utensils
여과기	colander
굽기용 팬	roasting pan
거품기	whisk
교반기	eggbeater
깡통 따개	can opener
강판	grater
찜통	steamer
후라이팬	frying pan
이중 냄비	double boiler
소스 냄비	sauce pan
집게	tongs
파이 팬	pie pan
냄비 집게	pot holders
케이크팬	cake pan
쿠키 판	cookie sheet
밀방망이	rolling pin
온스	ounce
파인트	pint
쿼트	quart
갤론	gallon
티스푼	teaspoon
카톤	cartons
냉동 식품	frozen foods
스낵류	snack foods
탄산음료수	soda
캔류	canned foods
냉동 야채	frozen vegetables
사워크림	sour cream
식료품점	grocery store
스프	soup
요거트	yogurt
매니저	manager
카트	cart
제과류	baked goods
냉동 식사	frozen dinner
마가린	margarine
넘치	halibut
황새치	swordfish
살라미	salami
콘드 비프	corned beef
밀빵	wheat bread
흰빵	white bread
냉동 생건	frozen fish
생물 생선	fresh fish
메기	catfish
호밀빵	rye bread
갑각류	shellfish
대합 조개	clams
델리	deli
양고기	lamb
베이컨	bacon
가금류	poultry
양고기 찹	lamb chops
양 다리	leg of lamb
가슴살	breasts (e.g. chicken breast)
폭찹	pork chops
생 닭고기	raw chicken
쇠갈비	beef ribs
로스트	roast
넓적다리	thighs
순무	turnips
꽃양배추	cauliflower
중국 배추	bok choy
셀러리	celery
깍지콩	string beans
사탕무	beets
파슬리	parsley
양호박	zucchini
아티초크	artichokes
말린 자두	prunes
코코넛	coconut
건포도	raisins
라임	limes
자몽	grapefruit
블루베리	blueberries
산딸기	raspberries
횐개미	termites
빈대	bedbugs
바퀴벌레	cockroach
벼룩	fleas
생쥐	mouse
온수기	water heater
수리공	repairman
두꺼비집	fuse / circuit box
전기공	electrician
가스계량기	gas meter
청소용 솔	scrub brush
재활용 통	recycle bin
깃털 충채	feather duster
고무 장갑	rubber gloves
청소 용품	cleaning supplies
쓰레받기	dustpan
스퀴지	squeegee
스폰지	sponge
인형집	dollhouse
퍼즐	puzzle
크레용	crayon
모빌	mobile
안전 레일	safety rail
챔대보	bedspread
요람	cradle
2층 침대	bunk beds
서랍장	chest of drawers
매트리스	mattress
침대 틀	bed frame
누비 이불	quilt
이불 커버	flat sheet
베갯잇	pillowcase
마루바닥	wood floor
알람 시계	alarm clock
전등갓	lampshade
전등	lamp
전신 거울	full-length mirror
목욕수건	bath towel
수건걸이	towel rack
타일	tile
샤워 커튼	shower curtain
샤워헤드	shower head
배수구	drain
작은 타월	hand towel
세수 수건	washcloth
치솔	toothbrush
치솔 꽂이	toothbrush holder
고무 매트	rubber mat
벽난로	fireplace
실내화초	houseplant
카페트	carpet
촛대	candle holder
커피 탁자	coffee table
큰 접시	platter
조명 기구	light fixture
접시 매트	place mat
식탁보	tablecloth
냅킨	napkin
커피잔	coffee mug
식탁 의자	dining room chair
소금통	salt shaker
후추통	pepper shaker
커피메이커	coffeemaker
블렌더	blender
전자렌지	microwave
토스터	toaster
접시 걸이	dish rack
싱크	sink
키친 타월	paper towels
브로일러	broiler
스토브	stove
차 주전자	teakettle / teapot
버너	burner
전기 믹서	electric mixer
차 통행로	driveway
덧문	storm door
홈통	gutter
차고 문	garage door
문 손잡이	doorknob
현관등	porch light
해먹	hammock
퇴비 더미	compost pile
꽃밭	flower bed
파티오	patio
방충문	screen door
스프링클러	sprinkler
채소밭	vegetable garden
앞쪽 현관	front porch
앞쪽 통로	front walk
도회 지역	an urban area
작은 마을	small town / village
연립주택	townhouse
콘도	condominium / condo
전원 지역	a rural area
건조기	dryer
버저	buzzer
관리인	manager (i.e. of an apartment)
거주자	tenant
우편함	mailboxes
층계	stairway
도어 체인	door chain
인터콤	intercom
발코니	balcony
안뜰	courtyard
보관함	storage locker
당구대	pool table
보안용 문	security gate
주차 공간	parking space
옥상 정원	roof garden
모기지	mortgage
임대료	rent
광고물	classified ad
아기 방	baby's room
낙심하다	to be frustrated
안도하다	to be relieved
역겹다	to be disgusted
염려되다	to be worried
대학 학위	college degree
그린카드	green card
졸업증서	diploma
증서	deed (the document)
이유식	baby food
턱받이	bib
하이 체어	high chair
기저귀 통	diaper pail
야간등	night light
딸랑이	rattle
젖병	baby bottle
육아	childcare / child rearing
곰인형	teddy bear
안전 시트	car safety seat
유모차	stroller
유아용 책	nursery rhymes
흔들 의자	rocking chair
물티슈	wet wipes
이부 형제	half sibling (same mother, different father)
이복 형제	half sibling (same father, different mother)
시누이	sister-in-law (husband's sister)
여자 조카	niece
남자 조카	nephew
의붓 형제	stepsibling
남자 형제	brother
여자 형제	sister
숙모	aunt (father's brother's wife)
계부	stepfather
재혼	remarried
브러쉬	brush
콧수염	mustache
턱수염	beard
긴 머리	long hair
가르마	part (e.g. hair)
짧은 머리	short Hair
앞머리	bangs
검은 머리	black hair
금발 머리	blond hair
백발	gray hair
콘로	corn rows
곱슬 머리	curly hair
곧은 머리	straight hair
갈색 머리	brown hair
롤러	rollers
임신한	pregnant
귀가 먼	deaf
키가 작은	short
평균 신장	average height
키가 큰	tall
중년의	middle aged
노년의	elderly
젊은	young
마른	thin
갓난 아기	infant
날씬한	slender
평균 체중	average weight
살찐	fat
귀여운	cute
세일가격	sale price (not 특...)
특매가	sale price
바코드	bar code
상품 카드	gift card
정상가	regular price
가격표	price tag
직불 카드	debit card
센트	cent
판매세	sales tax
총액	total (i.e. money)
아이보리	ivory
기본색	basic colors
크림색	cream
암청색	dark blue
중간색	neutral colors
밝은 청색	bright blue
큰 손	big hand
작은 손	small hand
두꺼운 책	thick book
얇은 책	thin book
빈 잔	empty glass
쉬운 문제	easy problem
착한 사람	good person
같은 색깔	same color
싼 반지	cheap ring
비싼 반지	expensive ring
나쁜 사람	bad person
새해 첫날	New Year's Day
학부모회	parent-teacher conference
지난 주	last week
이번 주	this week
시간대	time zones
일물	sunset
이분의 일	one half (1/2)
축정법	methods of measurement
기수	cardinal numbers
로마 숫자	roman numerals
삼분의 일	one third (1/3)
10퍼센트	10 percent
25퍼센트	25 percent
소수점	decimal point
사분의 일	one fourth (1/4)
팔분의 일	one eighth (1/8)
너비	width
공중 전화	pay phone
무선 전화	cordless phone
접속 번호	access number
전화선	phone line
전화 잭	phone jack
전화 카드	calling card
헤드셋	headset
키패드	key pad
별표 버튼	star key
지역 번호	city code
국제 전화	international call
국가 번호	country code
시내 전화	local call
기상 조건	weather conditions
일기도	weather map
헤드폰	headphones
프로젝터	projector
화이트보드	whiteboard
공책 속지	notebook paper
그림 사전	picture dictionary
스크린	screen
연필 깎이	pencil sharpener
마커	marker
시험 책자	test booklet
보조 교사	teacher's aide
학교 식당	school cafeteria
상담 교사	counselor
교감	assistant principal
주 사무실	main office
휴대 전화	cell phone
전화 번호	phone number
출생지	place of birth
우편 번호	zip code
고발하다	to accuse sb of sth, charge
흡연하다	to smoke
획득하다	to acquire
훈련하다	to train (someone)
황소	ox
환절기	change of seasons
화장하다	to do one's makeup
행복하게	happily
형광등	fluorescent bulb
협의회	a consultation, discussion
행정보조원	administrative assistant
항공엽서	aerogram (air post card)
항공료	Airfare
항공 우편	airmail
핵에너지	nuclear energy
해커	hacker
해병대	marines
함께가다	to accompany
할인하다	to discount
하루 종일	all day
학교식당	school cafeteria
한가위	alternative word for Korean thanksgiving
풍부한	plentiful
프렛젤	pretzels
피구	dodge ball
폭발물	explosives
팝콘	popcorn
판매원	salesman
평생직장	a lifetime job
통닭	fried chicken
통로 좌석	Aisle seat
타조	ostrich
큰집	the home of a family's parents and first child
케찹	ketchup
침술	acupuncture
최우다	to tidy up
축구화	soccer shoes
축적하다	to accumulate
촬영보	a camera person
청소원	janitor
창가 좌석	a window seat
진토닉	gin and tonic
지구본	globe
줄서	passing away
종이봉지	paper bag
좌석주머니	seat pocket
졸연하다	to be sudden
조용하게	quietly
제스쳐	a gesture
전진시키다	to advance
전등갖	lampshade
전병	thin crispy pastry
저온	a low temperature
저금통	a savings jar
전기 공학	electrical engineering (major)
재확인하다	to reconfirm
재판하다	to judge
재방문하다	to revisit
잠비	zombie
장 보다	to buy groceries
장 거리	a long distance
자신있다	to be self-confident
자연재해	natural disaster
잔도	loose change
잇점	advantage
입국심사	immigration
일억	one hundred million
일등석	first class seat
이자율	interest rate
이발사	barber
이민국직원	immigration officer
이상적이다	to be ideal
이상의	ideal
이것들	these
응용	application (usage)
윤기	luster, shine, gloss
윤달	“intercalary month”. used to adjust lunar calendar
유머스럽다	to be humorous
유람선	a cruise ship
우편 요금	Postage
우아하게	elegantly
우편번호	zip code
우비	a rain coat
외발자전거	a unicycle
완두콩	peas
온대성	temperate
오만	arrogance
오존	ozone
옅다	to be light in color
예리하다	to be sharp
예수	Jesus Christ
영업 시간	business hours
연필깍기	pencil sharpener
엑스레이기	x-ray machine
언어학	linguistics (major)
엄숙하게	solemnly
어눌하다	to be inarticulate
어디든지	wherever
야수	a beast
알려주다	to reveal
안내책	Brochure
아스피린	aspirin
